epoch 065 | train_loss 0.8010 | train_acc 0.7274 | val_loss 1.1991 | val_acc 0.6270
epoch 066 | train_loss 0.7927 | train_acc 0.7245 | val_loss 1.1815 | val_acc 0.6367
epoch 067 | train_loss 0.7894 | train_acc 0.7335 | val_loss 1.1923 | val_acc 0.6405
epoch 068 | train_loss 0.7927 | train_acc 0.7304 | val_loss 1.2181 | val_acc 0.6287
epoch 069 | train_loss 0.7866 | train_acc 0.7295 | val_loss 1.2064 | val_acc 0.6260
epoch 070 | train_loss 0.7902 | train_acc 0.7302 | val_loss 1.2309 | val_acc 0.6329
epoch 071 | train_loss 0.7702 | train_acc 0.7323 | val_loss 1.2041 | val_acc 0.6367
epoch 072 | train_loss 0.7712 | train_acc 0.7344 | val_loss 1.2156 | val_acc 0.6232
epoch 073 | train_loss 0.7614 | train_acc 0.7375 | val_loss 1.2006 | val_acc 0.6405
epoch 074 | train_loss 0.7665 | train_acc 0.7346 | val_loss 1.2094 | val_acc 0.6301
epoch 075 | train_loss 0.7728 | train_acc 0.7350 | val_loss 1.2328 | val_acc 0.6270
epoch 076 | train_loss 0.7606 | train_acc 0.7380 | val_loss 1.2225 | val_acc 0.6260
epoch 077 | train_loss 0.7528 | train_acc 0.7420 | val_loss 1.2119 | val_acc 0.6339
epoch 078 | train_loss 0.7460 | train_acc 0.7436 | val_loss 1.2222 | val_acc 0.6308
epoch 079 | train_loss 0.7451 | train_acc 0.7449 | val_loss 1.2688 | val_acc 0.6211
epoch 080 | train_loss 0.7670 | train_acc 0.7362 | val_loss 1.2141 | val_acc 0.6308
epoch 081 | train_loss 0.7295 | train_acc 0.7467 | val_loss 1.2037 | val_acc 0.6374
epoch 082 | train_loss 0.7228 | train_acc 0.7482 | val_loss 1.2135 | val_acc 0.6391
epoch 083 | train_loss 0.7137 | train_acc 0.7558 | val_loss 1.2373 | val_acc 0.6402
epoch 084 | train_loss 0.7115 | train_acc 0.7542 | val_loss 1.1957 | val_acc 0.6430
epoch 085 | train_loss 0.7066 | train_acc 0.7576 | val_loss 1.2299 | val_acc 0.6426
epoch 086 | train_loss 0.7142 | train_acc 0.7542 | val_loss 1.2074 | val_acc 0.6423
epoch 087 | train_loss 0.7091 | train_acc 0.7570 | val_loss 1.2260 | val_acc 0.6301
epoch 088 | train_loss 0.7036 | train_acc 0.7575 | val_loss 1.2171 | val_acc 0.6384
epoch 089 | train_loss 0.7006 | train_acc 0.7562 | val_loss 1.2107 | val_acc 0.6457
epoch 090 | train_loss 0.7106 | train_acc 0.7555 | val_loss 1.2278 | val_acc 0.6367
epoch 091 | train_loss 0.7035 | train_acc 0.7551 | val_loss 1.1988 | val_acc 0.6388
epoch 092 | train_loss 0.6920 | train_acc 0.7584 | val_loss 1.2246 | val_acc 0.6398
epoch 093 | train_loss 0.6894 | train_acc 0.7621 | val_loss 1.2369 | val_acc 0.6440
epoch 094 | train_loss 0.6962 | train_acc 0.7656 | val_loss 1.2165 | val_acc 0.6329
epoch 095 | train_loss 0.6973 | train_acc 0.7602 | val_loss 1.2411 | val_acc 0.6367
epoch 096 | train_loss 0.6862 | train_acc 0.7638 | val_loss 1.2093 | val_acc 0.6367
epoch 097 | train_loss 0.6763 | train_acc 0.7659 | val_loss 1.2482 | val_acc 0.6402
epoch 098 | train_loss 0.6830 | train_acc 0.7651 | val_loss 1.2406 | val_acc 0.6416
epoch 099 | train_loss 0.6914 | train_acc 0.7650 | val_loss 1.2315 | val_acc 0.6360
epoch 100 | train_loss 0.6804 | train_acc 0.7661 | val_loss 1.2414 | val_acc 0.6437
